reference_group_id,document_id,role
RG-seccl-year_folder=2003,TASK3/03-194-22A,member
RG-seccl-year_folder=2003,TASK3/03-194-23B,member
RG-seccl-year_folder=2003,TASK3/03-194-24B,member
RG-seccl-year_folder=2003,TASK3/03-194-26B,member
RG-seccl-year_folder=2003,TASK3/03-194-27B,member
RG-seccl-year_folder=2003,TASK3/03-194-29A,member
RG-seccl-year_folder=2003,TASK3/03-194-30A,member
RG-seccl-year_folder=2004,TASK1/04-020-01B,member
RG-seccl-year_folder=2004,TASK1/04-020-02A,member
RG-seccl-year_folder=2004,TASK1/04-020-03B,member
RG-seccl-year_folder=2004,TASK1/04-020-04A,member
RG-seccl-year_folder=2004,TASK1/04-020-05B,member
RG-seccl-year_folder=2004,TASK1/04-020-06A,member
RG-seccl-year_folder=2004,TASK1/04-020-07A,member
RG-seccl-year_folder=2004,TASK1/04-020-08B,member
RG-seccl-year_folder=2004,TASK1/04-020-09B,member
RG-seccl-year_folder=2004,TASK1/04-020-10A,member
RG-seccl-year_folder=2004,TASK1/04-020-11A,member
RG-seccl-year_folder=2004,TASK1/04-020-12B,member
RG-seccl-year_folder=2004,TASK1/04-020-13B,member
RG-seccl-year_folder=2004,TASK1/04-020-14A,member
RG-seccl-year_folder=2004,TASK1/04-020-15B,member
RG-seccl-year_folder=2004,TASK1/04-020-16A,member
RG-seccl-year_folder=2004,TASK1/04-020-17A,member
RG-seccl-year_folder=2004,TASK1/04-020-18A,member
RG-seccl-year_folder=2004,TASK1/04-020-19B,member
RG-seccl-year_folder=2004,TASK1/04-020-20B,member
RG-seccl-year_folder=2004,TASK1/04-020-21A,member
RG-seccl-year_folder=2004,TASK1/04-020-22A,member
RG-seccl-year_folder=2004,TASK1/04-020-23A,member
RG-seccl-year_folder=2004,TASK1/04-020-24B,member
RG-seccl-year_folder=2004,TASK1/04-020-26A,member
RG-seccl-year_folder=2004,TASK1/04-020-27B,member
RG-seccl-year_folder=2004,TASK1/04-020-28A,member
RG-seccl-year_folder=2004,TASK1/04-020-29A,member
RG-seccl-year_folder=2004,TASK1/04-020-30B,member
RG-seccl-year_folder=2004,TASK1/04-020-31B,member
RG-seccl-year_folder=2004,TASK1/04-020-32A,member
RG-seccl-year_folder=2004,TASK1/04-037-01A,member
RG-seccl-year_folder=2004,TASK1/04-037-02A,member
RG-seccl-year_folder=2004,TASK1/04-037-03A,member
RG-seccl-year_folder=2004,TASK1/04-037-04B,member
RG-seccl-year_folder=2004,TASK1/04-037-05A,member
RG-seccl-year_folder=2004,TASK1/04-037-06A,member
RG-seccl-year_folder=2004,TASK1/04-037-07A,member
RG-seccl-year_folder=2004,TASK1/04-037-08B,member
RG-seccl-year_folder=2004,TASK1/04-037-09A,member
RG-seccl-year_folder=2004,TASK1/04-037-10B,member
RG-seccl-year_folder=2004,TASK1/04-037-11B,member
RG-seccl-year_folder=2004,TASK1/04-037-12B,member
RG-seccl-year_folder=2004,TASK1/04-037-13A,member
RG-seccl-year_folder=2004,TASK1/04-037-14B,member
RG-seccl-year_folder=2004,TASK1/04-037-15A,member
RG-seccl-year_folder=2004,TASK1/04-037-16A,member
RG-seccl-year_folder=2004,TASK1/04-037-17B,member
RG-seccl-year_folder=2004,TASK1/04-037-18B,member
RG-seccl-year_folder=2004,TASK1/04-037-19A,member
RG-seccl-year_folder=2004,TASK1/04-037-20B,member
RG-seccl-year_folder=2004,TASK1/04-037-21B,member
RG-seccl-year_folder=2004,TASK1/04-037-22A,member
RG-seccl-year_folder=2004,TASK1/04-037-23A,member
RG-seccl-year_folder=2004,TASK1/04-037-24B,member
RG-seccl-year_folder=2004,TASK1/04-037-25B,member
RG-seccl-year_folder=2004,TASK1/04-037-26B,member
RG-seccl-year_folder=2004,TASK1/04-037-27A,member
RG-seccl-year_folder=2004,TASK1/04-037-28A,member
RG-seccl-year_folder=2004,TASK1/04-037-29B,member
RG-seccl-year_folder=2004,TASK1/04-037-30B,member
RG-seccl-year_folder=2004,TASK1/04-037-31B,member
RG-seccl-year_folder=2004,TASK1/04-037-32B,member
RG-seccl-year_folder=2004,TASK1/04-082-01A,member
RG-seccl-year_folder=2004,TASK1/04-082-07B,member
RG-seccl-year_folder=2004,TASK1/04-082-08B,member
RG-seccl-year_folder=2004,TASK1/04-082-09B,member
RG-seccl-year_folder=2004,TASK1/04-082-10B,member
RG-seccl-year_folder=2004,TASK1/04-082-11A,member
RG-seccl-year_folder=2004,TASK1/04-082-12B,member
RG-seccl-year_folder=2004,TASK1/04-082-13A,member
RG-seccl-year_folder=2004,TASK1/04-082-14A,member
RG-seccl-year_folder=2004,TASK1/04-082-15A,member
RG-seccl-year_folder=2004,TASK1/04-082-16A,member
RG-seccl-year_folder=2004,TASK1/04-082-17A,member
RG-seccl-year_folder=2004,TASK1/04-082-18B,member
RG-seccl-year_folder=2004,TASK1/04-082-19A,member
RG-seccl-year_folder=2004,TASK1/04-082-20A,member
RG-seccl-year_folder=2004,TASK1/04-082-21A,member
RG-seccl-year_folder=2004,TASK1/04-082-23B,member
RG-seccl-year_folder=2004,TASK1/04-082-24A,member
RG-seccl-year_folder=2004,TASK1/04-082-25A,member
RG-seccl-year_folder=2004,TASK1/04-082-26A,member
RG-seccl-year_folder=2004,TASK1/04-082-27B,member
RG-seccl-year_folder=2004,TASK1/04-082-28A,member
RG-seccl-year_folder=2004,TASK1/04-082-29A,member
RG-seccl-year_folder=2004,TASK1/04-082-30A,member
RG-seccl-year_folder=2004,TASK1/04-082-31B,member
RG-seccl-year_folder=2004,TASK1/04-082-32B,member
RG-seccl-year_folder=2004,TASK1/04-110-01B,member
RG-seccl-year_folder=2004,TASK1/04-110-02A,member
RG-seccl-year_folder=2004,TASK1/04-110-03B,member
RG-seccl-year_folder=2004,TASK1/04-110-04A,member
RG-seccl-year_folder=2004,TASK1/04-110-05A,member
RG-seccl-year_folder=2004,TASK1/04-110-06B,member
RG-seccl-year_folder=2004,TASK1/04-110-07B,member
RG-seccl-year_folder=2004,TASK1/04-110-08B,member
RG-seccl-year_folder=2004,TASK1/04-110-09B,member
RG-seccl-year_folder=2004,TASK1/04-110-10A,member
RG-seccl-year_folder=2004,TASK1/04-110-11B,member
RG-seccl-year_folder=2004,TASK1/04-110-12B,member
RG-seccl-year_folder=2004,TASK1/04-110-13B,member
RG-seccl-year_folder=2004,TASK1/04-110-14A,member
RG-seccl-year_folder=2004,TASK1/04-110-15A,member
RG-seccl-year_folder=2004,TASK1/04-110-16A,member
RG-seccl-year_folder=2004,TASK1/04-110-17A,member
RG-seccl-year_folder=2004,TASK1/04-110-18B,member
RG-seccl-year_folder=2004,TASK1/04-110-19A,member
RG-seccl-year_folder=2004,TASK1/04-110-20A,member
RG-seccl-year_folder=2004,TASK1/04-110-21A,member
RG-seccl-year_folder=2004,TASK1/04-110-22A,member
RG-seccl-year_folder=2004,TASK1/04-110-23B,member
RG-seccl-year_folder=2004,TASK1/04-110-24A,member
RG-seccl-year_folder=2004,TASK1/04-110-25A,member
RG-seccl-year_folder=2004,TASK1/04-110-26A,member
RG-seccl-year_folder=2004,TASK1/04-110-27B,member
RG-seccl-year_folder=2004,TASK1/04-110-28B,member
RG-seccl-year_folder=2004,TASK1/04-110-29A,member
RG-seccl-year_folder=2004,TASK1/04-110-30B,member
RG-seccl-year_folder=2004,TASK1/04-110-31B,member
RG-seccl-year_folder=2004,TASK1/04-110-32B,member
RG-seccl-year_folder=2004,TASK1/04-128-01B,member
RG-seccl-year_folder=2004,TASK1/04-128-02B,member
RG-seccl-year_folder=2004,TASK1/04-128-03B,member
RG-seccl-year_folder=2004,TASK1/04-128-04B,member
RG-seccl-year_folder=2004,TASK1/04-128-05B,member
RG-seccl-year_folder=2004,TASK1/04-128-06A,member
RG-seccl-year_folder=2004,TASK1/04-128-07B,member
RG-seccl-year_folder=2004,TASK1/04-128-08B,member
RG-seccl-year_folder=2004,TASK1/04-128-09A,member
RG-seccl-year_folder=2004,TASK1/04-128-10B,member
RG-seccl-year_folder=2004,TASK1/04-128-11B,member
RG-seccl-year_folder=2004,TASK1/04-128-12A,member
RG-seccl-year_folder=2004,TASK1/04-128-13A,member
RG-seccl-year_folder=2004,TASK1/04-128-14A,member
RG-seccl-year_folder=2004,TASK1/04-128-15B,member
RG-seccl-year_folder=2004,TASK1/04-128-16B,member
RG-seccl-year_folder=2004,TASK1/04-128-17A,member
RG-seccl-year_folder=2004,TASK1/04-128-18A,member
RG-seccl-year_folder=2004,TASK1/04-128-19B,member
RG-seccl-year_folder=2004,TASK1/04-128-20B,member
RG-seccl-year_folder=2004,TASK1/04-128-21A,member
RG-seccl-year_folder=2004,TASK1/04-128-22B,member
RG-seccl-year_folder=2004,TASK1/04-128-23B,member
RG-seccl-year_folder=2004,TASK1/04-128-24B,member
RG-seccl-year_folder=2004,TASK1/04-128-25B,member
RG-seccl-year_folder=2004,TASK1/04-128-26A,member
RG-seccl-year_folder=2004,TASK1/04-128-27B,member
RG-seccl-year_folder=2004,TASK1/04-128-28B,member
RG-seccl-year_folder=2004,TASK1/04-128-29A,member
RG-seccl-year_folder=2004,TASK1/04-128-30B,member
RG-seccl-year_folder=2004,TASK1/04-128-31A,member
RG-seccl-year_folder=2004,TASK1/04-128-32A,member
RG-seccl-year_folder=2004,TASK1/04-199-01B,member
RG-seccl-year_folder=2004,TASK1/04-199-02A,member
RG-seccl-year_folder=2004,TASK1/04-199-04B,member
RG-seccl-year_folder=2004,TASK1/04-199-05A,member
RG-seccl-year_folder=2004,TASK1/04-199-06B,member
RG-seccl-year_folder=2004,TASK1/04-199-07A,member
RG-seccl-year_folder=2004,TASK1/04-199-08A,member
RG-seccl-year_folder=2004,TASK1/04-199-09A,member
RG-seccl-year_folder=2004,TASK1/04-199-10A,member
RG-seccl-year_folder=2004,TASK1/04-199-11B,member
RG-seccl-year_folder=2004,TASK1/04-199-12B,member
RG-seccl-year_folder=2004,TASK1/04-199-13B,member
RG-seccl-year_folder=2004,TASK1/04-199-14B,member
RG-seccl-year_folder=2004,TASK1/04-199-15A,member
RG-seccl-year_folder=2004,TASK1/04-199-16A,member
RG-seccl-year_folder=2004,TASK1/04-199-17A,member
RG-seccl-year_folder=2004,TASK1/04-199-18B,member
RG-seccl-year_folder=2004,TASK1/04-199-19B,member
RG-seccl-year_folder=2004,TASK1/04-199-20A,member
RG-seccl-year_folder=2004,TASK1/04-199-21A,member
RG-seccl-year_folder=2004,TASK1/04-199-22A,member
RG-seccl-year_folder=2004,TASK1/04-199-23B,member
RG-seccl-year_folder=2004,TASK1/04-199-24B,member
RG-seccl-year_folder=2004,TASK1/04-199-25A,member
RG-seccl-year_folder=2004,TASK1/04-199-26B,member
RG-seccl-year_folder=2004,TASK1/04-199-27A,member
RG-seccl-year_folder=2004,TASK1/04-199-28A,member
RG-seccl-year_folder=2004,TASK1/04-199-29B,member
RG-seccl-year_folder=2004,TASK1/04-199-30B,member
RG-seccl-year_folder=2004,TASK1/04-199-31A,member
RG-seccl-year_folder=2004,TASK2/04-020-01B,member
RG-seccl-year_folder=2004,TASK2/04-020-02A,member
RG-seccl-year_folder=2004,TASK2/04-020-03B,member
RG-seccl-year_folder=2004,TASK2/04-020-04A,member
RG-seccl-year_folder=2004,TASK2/04-020-05B,member
RG-seccl-year_folder=2004,TASK2/04-020-06A,member
RG-seccl-year_folder=2004,TASK2/04-020-07A,member
RG-seccl-year_folder=2004,TASK2/04-020-08B,member
RG-seccl-year_folder=2004,TASK2/04-020-09B,member
RG-seccl-year_folder=2004,TASK2/04-020-10A,member
RG-seccl-year_folder=2004,TASK2/04-020-11A,member
RG-seccl-year_folder=2004,TASK2/04-020-12B,member
RG-seccl-year_folder=2004,TASK2/04-020-13B,member
RG-seccl-year_folder=2004,TASK2/04-020-14A,member
RG-seccl-year_folder=2004,TASK2/04-020-15B,member
RG-seccl-year_folder=2004,TASK2/04-020-16A,member
RG-seccl-year_folder=2004,TASK2/04-020-17A,member
RG-seccl-year_folder=2004,TASK2/04-020-18A,member
RG-seccl-year_folder=2004,TASK2/04-020-19B,member
RG-seccl-year_folder=2004,TASK2/04-020-20B,member
RG-seccl-year_folder=2004,TASK2/04-020-21A,member
RG-seccl-year_folder=2004,TASK2/04-020-22A,member
RG-seccl-year_folder=2004,TASK2/04-020-23A,member
RG-seccl-year_folder=2004,TASK2/04-020-24B,member
RG-seccl-year_folder=2004,TASK2/04-020-26A,member
RG-seccl-year_folder=2004,TASK2/04-020-27B,member
RG-seccl-year_folder=2004,TASK2/04-020-28A,member
RG-seccl-year_folder=2004,TASK2/04-020-29A,member
RG-seccl-year_folder=2004,TASK2/04-020-30B,member
RG-seccl-year_folder=2004,TASK2/04-020-31B,member
RG-seccl-year_folder=2004,TASK2/04-020-32A,member
RG-seccl-year_folder=2004,TASK2/04-037-01A,member
RG-seccl-year_folder=2004,TASK2/04-037-02A,member
RG-seccl-year_folder=2004,TASK2/04-037-03A,member
RG-seccl-year_folder=2004,TASK2/04-037-04B,member
RG-seccl-year_folder=2004,TASK2/04-037-05A,member
RG-seccl-year_folder=2004,TASK2/04-037-06A,member
RG-seccl-year_folder=2004,TASK2/04-037-07A,member
RG-seccl-year_folder=2004,TASK2/04-037-08B,member
RG-seccl-year_folder=2004,TASK2/04-037-09A,member
RG-seccl-year_folder=2004,TASK2/04-037-10B,member
RG-seccl-year_folder=2004,TASK2/04-037-11B,member
RG-seccl-year_folder=2004,TASK2/04-037-12B,member
RG-seccl-year_folder=2004,TASK2/04-037-13A,member
RG-seccl-year_folder=2004,TASK2/04-037-14B,member
RG-seccl-year_folder=2004,TASK2/04-037-15A,member
RG-seccl-year_folder=2004,TASK2/04-037-16A,member
RG-seccl-year_folder=2004,TASK2/04-037-17B,member
RG-seccl-year_folder=2004,TASK2/04-037-18B,member
RG-seccl-year_folder=2004,TASK2/04-037-19A,member
RG-seccl-year_folder=2004,TASK2/04-037-20B,member
RG-seccl-year_folder=2004,TASK2/04-037-21B,member
RG-seccl-year_folder=2004,TASK2/04-037-22A,member
RG-seccl-year_folder=2004,TASK2/04-037-23A,member
RG-seccl-year_folder=2004,TASK2/04-037-24B,member
RG-seccl-year_folder=2004,TASK2/04-037-25B,member
RG-seccl-year_folder=2004,TASK2/04-037-26B,member
RG-seccl-year_folder=2004,TASK2/04-037-27A,member
RG-seccl-year_folder=2004,TASK2/04-037-28A,member
RG-seccl-year_folder=2004,TASK2/04-037-29B,member
RG-seccl-year_folder=2004,TASK2/04-037-30B,member
RG-seccl-year_folder=2004,TASK2/04-037-31B,member
RG-seccl-year_folder=2004,TASK2/04-037-32B,member
RG-seccl-year_folder=2004,TASK2/04-082-01A,member
RG-seccl-year_folder=2004,TASK2/04-082-07B,member
RG-seccl-year_folder=2004,TASK2/04-082-08B,member
RG-seccl-year_folder=2004,TASK2/04-082-09B,member
RG-seccl-year_folder=2004,TASK2/04-082-10B,member
RG-seccl-year_folder=2004,TASK2/04-082-11A,member
RG-seccl-year_folder=2004,TASK2/04-082-12B,member
RG-seccl-year_folder=2004,TASK2/04-082-13A,member
RG-seccl-year_folder=2004,TASK2/04-082-14A,member
RG-seccl-year_folder=2004,TASK2/04-082-15A,member
RG-seccl-year_folder=2004,TASK2/04-082-16A,member
RG-seccl-year_folder=2004,TASK2/04-082-17A,member
RG-seccl-year_folder=2004,TASK2/04-082-18B,member
RG-seccl-year_folder=2004,TASK2/04-082-19A,member
RG-seccl-year_folder=2004,TASK2/04-082-20A,member
RG-seccl-year_folder=2004,TASK2/04-082-21A,member
RG-seccl-year_folder=2004,TASK2/04-082-23B,member
RG-seccl-year_folder=2004,TASK2/04-082-24A,member
RG-seccl-year_folder=2004,TASK2/04-082-25A,member
RG-seccl-year_folder=2004,TASK2/04-082-26A,member
RG-seccl-year_folder=2004,TASK2/04-082-27B,member
RG-seccl-year_folder=2004,TASK2/04-082-28A,member
RG-seccl-year_folder=2004,TASK2/04-082-29A,member
RG-seccl-year_folder=2004,TASK2/04-082-30A,member
RG-seccl-year_folder=2004,TASK2/04-082-31B,member
RG-seccl-year_folder=2004,TASK2/04-082-32B,member
RG-seccl-year_folder=2004,TASK2/04-110-01B,member
RG-seccl-year_folder=2004,TASK2/04-110-02A,member
RG-seccl-year_folder=2004,TASK2/04-110-03B,member
RG-seccl-year_folder=2004,TASK2/04-110-04A,member
RG-seccl-year_folder=2004,TASK2/04-110-05A,member
RG-seccl-year_folder=2004,TASK2/04-110-06B,member
RG-seccl-year_folder=2004,TASK2/04-110-07B,member
RG-seccl-year_folder=2004,TASK2/04-110-08B,member
RG-seccl-year_folder=2004,TASK2/04-110-09B,member
RG-seccl-year_folder=2004,TASK2/04-110-10A,member
RG-seccl-year_folder=2004,TASK2/04-110-11B,member
RG-seccl-year_folder=2004,TASK2/04-110-12B,member
RG-seccl-year_folder=2004,TASK2/04-110-13B,member
RG-seccl-year_folder=2004,TASK2/04-110-14A,member
RG-seccl-year_folder=2004,TASK2/04-110-15A,member
RG-seccl-year_folder=2004,TASK2/04-110-16A,member
RG-seccl-year_folder=2004,TASK2/04-110-17A,member
RG-seccl-year_folder=2004,TASK2/04-110-18B,member
RG-seccl-year_folder=2004,TASK2/04-110-19A,member
RG-seccl-year_folder=2004,TASK2/04-110-20A,member
RG-seccl-year_folder=2004,TASK2/04-110-21A,member
RG-seccl-year_folder=2004,TASK2/04-110-22A,member
RG-seccl-year_folder=2004,TASK2/04-110-23B,member
RG-seccl-year_folder=2004,TASK2/04-110-24A,member
RG-seccl-year_folder=2004,TASK2/04-110-25A,member
RG-seccl-year_folder=2004,TASK2/04-110-26A,member
RG-seccl-year_folder=2004,TASK2/04-110-27B,member
RG-seccl-year_folder=2004,TASK2/04-110-28B,member
RG-seccl-year_folder=2004,TASK2/04-110-29A,member
RG-seccl-year_folder=2004,TASK2/04-110-30B,member
RG-seccl-year_folder=2004,TASK2/04-110-31B,member
RG-seccl-year_folder=2004,TASK2/04-110-32B,member
RG-seccl-year_folder=2004,TASK2/04-128-01B,member
RG-seccl-year_folder=2004,TASK2/04-128-02B,member
RG-seccl-year_folder=2004,TASK2/04-128-03B,member
RG-seccl-year_folder=2004,TASK2/04-128-04B,member
RG-seccl-year_folder=2004,TASK2/04-128-05B,member
RG-seccl-year_folder=2004,TASK2/04-128-06A,member
RG-seccl-year_folder=2004,TASK2/04-128-07B,member
RG-seccl-year_folder=2004,TASK2/04-128-08B,member
RG-seccl-year_folder=2004,TASK2/04-128-09A,member
RG-seccl-year_folder=2004,TASK2/04-128-10B,member
RG-seccl-year_folder=2004,TASK2/04-128-11B,member
RG-seccl-year_folder=2004,TASK2/04-128-12A,member
RG-seccl-year_folder=2004,TASK2/04-128-13A,member
RG-seccl-year_folder=2004,TASK2/04-128-14A,member
RG-seccl-year_folder=2004,TASK2/04-128-15B,member
RG-seccl-year_folder=2004,TASK2/04-128-16B,member
RG-seccl-year_folder=2004,TASK2/04-128-17A,member
RG-seccl-year_folder=2004,TASK2/04-128-18A,member
RG-seccl-year_folder=2004,TASK2/04-128-19B,member
RG-seccl-year_folder=2004,TASK2/04-128-20B,member
RG-seccl-year_folder=2004,TASK2/04-128-21A,member
RG-seccl-year_folder=2004,TASK2/04-128-22B,member
RG-seccl-year_folder=2004,TASK2/04-128-23B,member
RG-seccl-year_folder=2004,TASK2/04-128-24B,member
RG-seccl-year_folder=2004,TASK2/04-128-25B,member
RG-seccl-year_folder=2004,TASK2/04-128-26A,member
RG-seccl-year_folder=2004,TASK2/04-128-27B,member
RG-seccl-year_folder=2004,TASK2/04-128-28B,member
RG-seccl-year_folder=2004,TASK2/04-128-29A,member
RG-seccl-year_folder=2004,TASK2/04-128-30B,member
RG-seccl-year_folder=2004,TASK2/04-128-31A,member
RG-seccl-year_folder=2004,TASK2/04-128-32A,member
RG-seccl-year_folder=2004,TASK2/04-199-01B,member
RG-seccl-year_folder=2004,TASK2/04-199-02A,member
RG-seccl-year_folder=2004,TASK2/04-199-04B,member
RG-seccl-year_folder=2004,TASK2/04-199-05A,member
RG-seccl-year_folder=2004,TASK2/04-199-06B,member
RG-seccl-year_folder=2004,TASK2/04-199-07A,member
RG-seccl-year_folder=2004,TASK2/04-199-08A,member
RG-seccl-year_folder=2004,TASK2/04-199-09A,member
RG-seccl-year_folder=2004,TASK2/04-199-10A,member
RG-seccl-year_folder=2004,TASK2/04-199-11B,member
RG-seccl-year_folder=2004,TASK2/04-199-12B,member
RG-seccl-year_folder=2004,TASK2/04-199-13B,member
RG-seccl-year_folder=2004,TASK2/04-199-14B,member
RG-seccl-year_folder=2004,TASK2/04-199-15A,member
RG-seccl-year_folder=2004,TASK2/04-199-16A,member
RG-seccl-year_folder=2004,TASK2/04-199-17A,member
RG-seccl-year_folder=2004,TASK2/04-199-18B,member
RG-seccl-year_folder=2004,TASK2/04-199-19B,member
RG-seccl-year_folder=2004,TASK2/04-199-20A,member
RG-seccl-year_folder=2004,TASK2/04-199-21A,member
RG-seccl-year_folder=2004,TASK2/04-199-22A,member
RG-seccl-year_folder=2004,TASK2/04-199-23B,member
RG-seccl-year_folder=2004,TASK2/04-199-24B,member
RG-seccl-year_folder=2004,TASK2/04-199-25A,member
RG-seccl-year_folder=2004,TASK2/04-199-26B,member
RG-seccl-year_folder=2004,TASK2/04-199-27A,member
RG-seccl-year_folder=2004,TASK2/04-199-28A,member
RG-seccl-year_folder=2004,TASK2/04-199-29B,member
RG-seccl-year_folder=2004,TASK2/04-199-30B,member
RG-seccl-year_folder=2004,TASK2/04-199-31A,member
RG-seccl-year_folder=2004,TASK3/04-020-01B,member
RG-seccl-year_folder=2004,TASK3/04-020-02A,member
RG-seccl-year_folder=2004,TASK3/04-020-03B,member
RG-seccl-year_folder=2004,TASK3/04-020-04A,member
RG-seccl-year_folder=2004,TASK3/04-020-05B,member
RG-seccl-year_folder=2004,TASK3/04-020-06A,member
RG-seccl-year_folder=2004,TASK3/04-020-07A,member
RG-seccl-year_folder=2004,TASK3/04-020-08B,member
RG-seccl-year_folder=2004,TASK3/04-020-09B,member
RG-seccl-year_folder=2004,TASK3/04-020-10A,member
RG-seccl-year_folder=2004,TASK3/04-020-11A,member
RG-seccl-year_folder=2004,TASK3/04-020-12B,member
RG-seccl-year_folder=2004,TASK3/04-020-13B,member
RG-seccl-year_folder=2004,TASK3/04-020-14A,member
RG-seccl-year_folder=2004,TASK3/04-020-15B,member
RG-seccl-year_folder=2004,TASK3/04-020-16A,member
RG-seccl-year_folder=2004,TASK3/04-020-17A,member
RG-seccl-year_folder=2004,TASK3/04-020-18A,member
RG-seccl-year_folder=2004,TASK3/04-020-19B,member
RG-seccl-year_folder=2004,TASK3/04-020-20B,member
RG-seccl-year_folder=2004,TASK3/04-020-21A,member
RG-seccl-year_folder=2004,TASK3/04-020-22A,member
RG-seccl-year_folder=2004,TASK3/04-020-23A,member
RG-seccl-year_folder=2004,TASK3/04-020-24B,member
RG-seccl-year_folder=2004,TASK3/04-020-26A,member
RG-seccl-year_folder=2004,TASK3/04-020-27B,member
RG-seccl-year_folder=2004,TASK3/04-020-28A,member
RG-seccl-year_folder=2004,TASK3/04-020-29A,member
RG-seccl-year_folder=2004,TASK3/04-020-30B,member
RG-seccl-year_folder=2004,TASK3/04-020-31B,member
RG-seccl-year_folder=2004,TASK3/04-020-32A,member
RG-seccl-year_folder=2004,TASK3/04-037-01A,member
RG-seccl-year_folder=2004,TASK3/04-037-02A,member
RG-seccl-year_folder=2004,TASK3/04-037-03A,member
RG-seccl-year_folder=2004,TASK3/04-037-04B,member
RG-seccl-year_folder=2004,TASK3/04-037-05A,member
RG-seccl-year_folder=2004,TASK3/04-037-06A,member
RG-seccl-year_folder=2004,TASK3/04-037-07A,member
RG-seccl-year_folder=2004,TASK3/04-037-08B,member
RG-seccl-year_folder=2004,TASK3/04-037-09A,member
RG-seccl-year_folder=2004,TASK3/04-037-10B,member
RG-seccl-year_folder=2004,TASK3/04-037-11B,member
RG-seccl-year_folder=2004,TASK3/04-037-12B,member
RG-seccl-year_folder=2004,TASK3/04-037-13A,member
RG-seccl-year_folder=2004,TASK3/04-037-14B,member
RG-seccl-year_folder=2004,TASK3/04-037-15A,member
RG-seccl-year_folder=2004,TASK3/04-037-16A,member
RG-seccl-year_folder=2004,TASK3/04-037-17B,member
RG-seccl-year_folder=2004,TASK3/04-037-18B,member
RG-seccl-year_folder=2004,TASK3/04-037-19A,member
RG-seccl-year_folder=2004,TASK3/04-037-20B,member
RG-seccl-year_folder=2004,TASK3/04-037-21B,member
RG-seccl-year_folder=2004,TASK3/04-037-22A,member
RG-seccl-year_folder=2004,TASK3/04-037-23A,member
RG-seccl-year_folder=2004,TASK3/04-037-24B,member
RG-seccl-year_folder=2004,TASK3/04-037-25B,member
RG-seccl-year_folder=2004,TASK3/04-037-26B,member
RG-seccl-year_folder=2004,TASK3/04-037-27A,member
RG-seccl-year_folder=2004,TASK3/04-037-28A,member
RG-seccl-year_folder=2004,TASK3/04-037-29B,member
RG-seccl-year_folder=2004,TASK3/04-037-30B,member
RG-seccl-year_folder=2004,TASK3/04-037-31B,member
RG-seccl-year_folder=2004,TASK3/04-037-32B,member
RG-seccl-year_folder=2004,TASK3/04-082-01A,member
RG-seccl-year_folder=2004,TASK3/04-082-07B,member
RG-seccl-year_folder=2004,TASK3/04-082-08B,member
RG-seccl-year_folder=2004,TASK3/04-082-09B,member
RG-seccl-year_folder=2004,TASK3/04-082-10B,member
RG-seccl-year_folder=2004,TASK3/04-082-11A,member
RG-seccl-year_folder=2004,TASK3/04-082-12B,member
RG-seccl-year_folder=2004,TASK3/04-082-13A,member
RG-seccl-year_folder=2004,TASK3/04-082-14A,member
RG-seccl-year_folder=2004,TASK3/04-082-15A,member
RG-seccl-year_folder=2004,TASK3/04-082-16A,member
RG-seccl-year_folder=2004,TASK3/04-082-17A,member
RG-seccl-year_folder=2004,TASK3/04-082-18B,member
RG-seccl-year_folder=2004,TASK3/04-082-19A,member
RG-seccl-year_folder=2004,TASK3/04-082-20A,member
RG-seccl-year_folder=2004,TASK3/04-082-21A,member
RG-seccl-year_folder=2004,TASK3/04-082-23B,member
RG-seccl-year_folder=2004,TASK3/04-082-24A,member
RG-seccl-year_folder=2004,TASK3/04-082-25A,member
RG-seccl-year_folder=2004,TASK3/04-082-26A,member
RG-seccl-year_folder=2004,TASK3/04-082-27B,member
RG-seccl-year_folder=2004,TASK3/04-082-28A,member
RG-seccl-year_folder=2004,TASK3/04-082-29A,member
RG-seccl-year_folder=2004,TASK3/04-082-30A,member
RG-seccl-year_folder=2004,TASK3/04-082-31B,member
RG-seccl-year_folder=2004,TASK3/04-082-32B,member
RG-seccl-year_folder=2004,TASK3/04-110-01B,member
RG-seccl-year_folder=2004,TASK3/04-110-02A,member
RG-seccl-year_folder=2004,TASK3/04-110-03B,member
RG-seccl-year_folder=2004,TASK3/04-110-04A,member
RG-seccl-year_folder=2004,TASK3/04-110-05A,member
RG-seccl-year_folder=2004,TASK3/04-110-06B,member
RG-seccl-year_folder=2004,TASK3/04-110-07B,member
RG-seccl-year_folder=2004,TASK3/04-110-08B,member
RG-seccl-year_folder=2004,TASK3/04-110-09B,member
RG-seccl-year_folder=2004,TASK3/04-110-10A,member
RG-seccl-year_folder=2004,TASK3/04-110-11B,member
RG-seccl-year_folder=2004,TASK3/04-110-12B,member
RG-seccl-year_folder=2004,TASK3/04-110-13B,member
RG-seccl-year_folder=2004,TASK3/04-110-14A,member
RG-seccl-year_folder=2004,TASK3/04-110-15A,member
RG-seccl-year_folder=2004,TASK3/04-110-16A,member
RG-seccl-year_folder=2004,TASK3/04-110-17A,member
RG-seccl-year_folder=2004,TASK3/04-110-18B,member
RG-seccl-year_folder=2004,TASK3/04-110-19A,member
RG-seccl-year_folder=2004,TASK3/04-110-20A,member
